10		G	5	{'TITLE'}				ca																																																																																																																																									
101		Q	B	FCTquestions	1	"Tria una opció, 1 és la puntuació més baixa i 10 la puntuació més alta."		ca		N	N		0																																																																																																																																				
102		SQ		FCT001	1	"Consideres que has rebut prou informació sobre el funcionament de la FCT?"		ca		N	N		0																																																																																																																																				
103		SQ		FCT002	1	"Consideres que has rebut una formació adequada per part de l'empresa on has fet la FCT?"		ca		N	N		0																																																																																																																																				
104		SQ		FCT003	1	"Consideres que la feina que has realitzat durant la FCT es correspon o relacionen amb els continguts que has treballat durant el Cicle Formatiu?"		ca		N	N		0																																																																																																																																				
105		SQ		FCT004	1	"En termes generals, com valoraries la teva estada a l'empresa durant la FCT?"		ca			N		0																																																																																																																																				
106		Q	T	FCTcomments	1	"Si us plau, fes una proposta per millorar algun d'aquests aspectes. (Opcional, però molt important si penses que hi ha coses per polir. Longitud màxima: 500 caràcters.)"		ca		N	N		0																																																												500																																																																								
107		Q	*	FCTlevel	1	"level: {'CF'}"		ca		N	N		0																																				{'CF'}			1																																																																																													
108		Q	*	FCTtopic	1	"topic: {'FCT'}"		ca		N	N		0																																				{'FCT'}			1																																																																																													
109		Q	*	FCTsubjectcode	1	"subject_code: {'FCT'}"		ca		N	N		0																																				{'FCT'}			1																																																																																													
110		Q	*	FCTsubjectname	1	"subject_name: {'FCT'}"		ca		N	N		0																																				{'FCT'}			1																																																																																													
111		Q	*	FCTdepartment	1	"department: {'DEPARTMENT'}"		ca		N	N		0																																				{'DEPARTMENT'}			1																																																																																													
112		Q	*	FCTdegree	1	"degree: {'DEGREE'}"		ca		N	N		0																																				{'DEGREE'}			1																																																																																													
113		Q	*	FCTgroup	1	"group: {'GROUP'}"		ca		N	N		0																																				{'GROUP'}			1																																																																																													
114		Q	*	FCTtrainer	1	"trainer: {'TRAINER'}"		ca		N	N		0																																				{'TRAINER'}			1																																																																																													
